category,classification,count
callback_signature,needs-review,38
count_nullable,needs-review,938
deprecated_dollar_brace_interpolation,false-positive-literal-placeholder,23
direct_request_array,needs-review,9931
dynamic_property_write,needs-review,280
error_suppression,needs-review,564
interface_or_signature,needs-review,1329
loose_comparison_security,needs-review,13501
null_internal_function_argument,needs-review,1012
null_scalar_array_access,needs-review,58786
raw_mysqli,needs-review,2704
request_value_string_function,needs-review,142
static_call,needs-review,72
