lock_path,package,version,php_requirement,type,abandoned,phase1_action
assets/libraries/apple/composer.lock,griffinledingham/php-apple-signin,1.1,,library,false,locked-no-upgrade
assets/libraries/braintree/composer.lock,braintree/braintree_php,6.11.1,>=7.3.0,library,false,locked-no-upgrade
assets/libraries/cloud/composer.lock,firebase/php-jwt,v5.1.0,>=5.3.0,library,false,locked-no-upgrade
assets/libraries/cloud/composer.lock,google/auth,v1.7.1,>=5.4,library,false,locked-no-upgrade
assets/libraries/cloud/composer.lock,google/cloud-core,v1.35.0,>=5.5,library,false,locked-no-upgrade
assets/libraries/cloud/composer.lock,google/cloud-storage,v1.18.0,,library,false,locked-no-upgrade
assets/libraries/cloud/composer.lock,google/crc32,v0.1.0,>=5.4,library,false,locked-no-upgrade
assets/libraries/cloud/composer.lock,guzzlehttp/guzzle,6.5.2,>=5.5,library,false,locked-no-upgrade
assets/libraries/cloud/composer.lock,guzzlehttp/promises,v1.3.1,>=5.5.0,library,false,locked-no-upgrade
assets/libraries/cloud/composer.lock,guzzlehttp/psr7,1.6.1,>=5.4.0,library,false,locked-no-upgrade
assets/libraries/cloud/composer.lock,monolog/monolog,2.0.2,^7.2,library,false,locked-no-upgrade
assets/libraries/cloud/composer.lock,psr/cache,1.0.1,>=5.3.0,library,false,locked-no-upgrade
assets/libraries/cloud/composer.lock,psr/http-message,1.0.1,>=5.3.0,library,false,locked-no-upgrade
assets/libraries/cloud/composer.lock,psr/log,1.1.3,>=5.3.0,library,false,locked-no-upgrade
assets/libraries/cloud/composer.lock,ralouphie/getallheaders,3.0.3,>=5.6,library,false,locked-no-upgrade
assets/libraries/cloud/composer.lock,rize/uri-template,0.3.2,>=5.3.0,library,false,locked-no-upgrade
assets/libraries/composer.lock,nicolab/php-ftp-client,v1.4.1,>=5.4,library,false,locked-no-upgrade
assets/libraries/DB/composer.lock,joshcam/mysqli-database-class,dev-master,>=5.3.0,library,false,locked-no-upgrade
assets/libraries/fake-users/composer.lock,fzaninotto/faker,v1.9.0,"^5.3.3 || ^7.0",library,false,locked-no-upgrade
assets/libraries/ftp/composer.lock,nicolab/php-ftp-client,v1.5.1,>=5.4,library,false,locked-no-upgrade
assets/libraries/google-lib/composer.lock,firebase/php-jwt,v6.3.0,^7.1||^8.0,library,false,locked-no-upgrade
assets/libraries/google-lib/composer.lock,google/auth,v1.21.1,^7.1||^8.0,library,false,locked-no-upgrade
assets/libraries/google-lib/composer.lock,google/cloud-core,v1.47.2,>=5.6,library,false,locked-no-upgrade
assets/libraries/google-lib/composer.lock,google/cloud-storage,v1.28.1,,library,false,locked-no-upgrade
assets/libraries/google-lib/composer.lock,google/crc32,v0.1.0,>=5.4,library,false,locked-no-upgrade
assets/libraries/google-lib/composer.lock,guzzlehttp/guzzle,7.4.5,"^7.2.5 || ^8.0",library,false,locked-no-upgrade
assets/libraries/google-lib/composer.lock,guzzlehttp/promises,1.5.1,>=5.5,library,false,locked-no-upgrade
